doer_entropy,entropy,loss,msg_magnitude,pg_loss,reward_mean,success_rate,v_loss
1.5423493,5.1713066,0.081793174,1.9177663,1.0617077e-07,0.020668633,0.03036499,0.26701227
1.5370855,5.1660423,0.07669419,1.9288132,9.313226e-08,0.022148121,0.031829834,0.25670904
1.5332519,5.1622086,0.07346926,1.9350654,1.17346644e-07,0.025076278,0.034729004,0.25018245
1.5289574,5.157914,0.06090366,1.9344313,6.146729e-08,0.024429,0.034088135,0.22496548
1.5238514,5.152808,0.059830748,1.9494872,8.009374e-08,0.028867468,0.038482666,0.2227175
1.5182157,5.1471725,0.053837024,1.9653425,-1.9930303e-07,0.03000791,0.039611816,0.2106179
1.5126545,5.141611,0.047728296,1.975852,-3.222376e-07,0.03198056,0.04156494,0.19828945
1.5065258,5.135483,0.0429703,1.9895403,-1.1175871e-08,0.033860747,0.043426514,0.18865028
1.5010191,5.129976,0.038005352,2.002431,-2.2351742e-08,0.036018334,0.045562744,0.17861027
1.4946975,5.1236544,0.03225838,2.0180705,9.313226e-09,0.03805263,0.047576904,0.16698983
1.4875164,5.116473,0.025648996,2.038487,5.9604645e-08,0.039871167,0.04937744,0.15362734
1.481135,5.1100917,0.020894403,2.0505145,-1.0058284e-07,0.042306162,0.05178833,0.14399084
1.4734218,5.102379,0.01481189,2.0741735,-6.891787e-08,0.04335413,0.052825928,0.13167149
1.4672639,5.0962205,0.008411733,2.0836196,1.3411045e-07,0.044556215,0.054016113,0.11874761
1.4588491,5.087806,0.0060458984,2.1123505,-3.3527613e-08,0.048254937,0.057678223,0.113847986
1.4522508,5.0812078,-0.0005948055,2.119631,-5.401671e-08,0.049117975,0.058532715,0.100434646
1.4449759,5.0739326,-0.004580445,2.1346045,1.7881393e-07,0.050412532,0.059814453,0.0923174
1.4358817,5.0648384,-0.006748452,2.163682,-1.1269003e-07,0.05466606,0.06402588,0.087800086
1.4272375,5.0561943,-0.012330085,2.1857386,5.7742e-08,0.05559075,0.064941406,0.076463595
1.4196696,5.048627,-0.015071378,2.2011123,1.0430813e-07,0.057409283,0.06674194,0.07082957
1.4105968,5.039554,-0.018093258,2.2264237,9.033829e-08,0.06052237,0.06982422,0.06460439
1.4021547,5.0311112,-0.021447852,2.2463958,1.0151416e-07,0.062525846,0.07180786,0.057726312
1.3938886,5.0228457,-0.023551498,2.2658024,-8.940697e-08,0.06280325,0.07208252,0.053354096
1.3857728,5.0147295,-0.026286973,2.2832155,-1.0617077e-07,0.065608114,0.07485962,0.047720853
1.3766795,5.0056367,-0.02779921,2.3015158,2.2351742e-08,0.06718008,0.076416016,0.04451427
1.36675,4.9957066,-0.029548993,2.3270404,5.7742e-08,0.0680123,0.07723999,0.040816028
1.357708,4.9866657,-0.031415794,2.349697,-9.9651515e-08,0.07001577,0.07922363,0.036901925
1.349859,4.978816,-0.03323861,2.3694081,3.7252903e-09,0.07445424,0.083618164,0.033099096
1.341737,4.9706936,-0.034813207,2.384692,-2.7939677e-09,0.07448506,0.08364868,0.029787462
1.3326731,4.96163,-0.03640406,2.4022264,3.632158e-08,0.07531727,0.084472656,0.026424404
1.3232334,4.9521904,-0.037077267,2.426568,-2.7241185e-08,0.07756733,0.08670044,0.024889328
1.3148738,4.9438305,-0.037649754,2.4464765,2.3283064e-10,0.07870777,0.08782959,0.023577098
1.3064743,4.9354315,-0.03784225,2.4593427,-4.1909516e-09,0.07735157,0.08648682,0.02302413
1.2994589,4.928416,-0.038671706,2.4811895,-2.6077032e-08,0.08330036,0.09237671,0.021224951
1.292039,4.9209957,-0.038836233,2.495432,1.8626451e-09,0.082591444,0.091674805,0.020747442
1.2835665,4.912524,-0.039204694,2.515123,-5.355105e-09,0.08468739,0.09375,0.019841105
1.2769883,4.9059443,-0.03956655,2.528248,1.4901161e-08,0.08499561,0.094055176,0.018985752
1.2698914,4.898848,-0.040082783,2.5496478,1.3038516e-08,0.08912586,0.09814453,0.01781137
1.2625947,4.8915515,-0.039799,2.5619109,1.8626451e-09,0.08826281,0.09729004,0.01823302
1.2552135,4.8841705,-0.039655145,2.5740256,-1.6298145e-08,0.08752308,0.09655762,0.01837315
1.2485837,4.8775406,-0.03999108,2.589824,3.4924597e-10,0.08921832,0.098236084,0.017568652
1.2409067,4.869864,-0.03986682,2.608611,-2.561137e-09,0.08832446,0.097351074,0.017663646
1.236388,4.8653445,-0.04020126,2.617601,-7.450581e-09,0.08998889,0.09899902,0.016904378
1.2311182,4.8600755,-0.04036671,2.6290317,1.6530976e-08,0.092577994,0.1015625,0.016468057
1.2253399,4.8542967,-0.040433135,2.6447012,-1.8626451e-08,0.092300594,0.10128784,0.016219698
1.2196656,4.8486223,-0.040535264,2.655694,3.259629e-09,0.09328692,0.102264404,0.015901912
1.2150946,4.8440514,-0.040629502,2.6706266,-3.306195e-08,0.094581485,0.10354614,0.015622086
1.2114656,4.8404226,-0.040719863,2.6763663,5.5879354e-09,0.09498218,0.10394287,0.015368712
1.2073772,4.8363338,-0.04064003,2.683165,-7.21775e-09,0.09556781,0.104522705,0.015446628
1.2025037,4.831461,-0.04071045,2.692926,-2.3283064e-10,0.094273254,0.10324097,0.015208315
1.1996359,4.8285923,-0.040950503,2.7021008,3.1664968e-08,0.097293876,0.10623169,0.014670774
1.1958517,4.824808,-0.040898014,2.7130666,1.6763806e-08,0.096800715,0.10574341,0.014700099
1.1935925,4.822549,-0.040835805,2.711195,4.4237822e-08,0.09476642,0.10372925,0.01477928
1.1895752,4.818532,-0.041032348,2.725275,-3.306195e-08,0.097787045,0.10671997,0.014306011
1.1884652,4.817422,-0.040956266,2.7261922,2.2817403e-08,0.09640002,0.10534668,0.014435859
1.1860152,4.814972,-0.041025605,2.7333045,-1.1175871e-08,0.09812609,0.107055664,0.014248252
1.1851299,4.814086,-0.041165207,2.740369,-4.656613e-09,0.10077685,0.109680176,0.013951313
1.184181,4.813138,-0.041203756,2.7386694,1.9092113e-08,0.099050775,0.10797119,0.01385521
1.1814865,4.810444,-0.04114862,2.7419405,-1.8626451e-08,0.09806444,0.10699463,0.01391167
1.1804773,4.809434,-0.04114177,2.7487178,-1.1175871e-08,0.09929736,0.10821533,0.013905158
1.1818969,4.810854,-0.04115392,2.7438478,-2.7008355e-08,0.10056109,0.10946655,0.01390929
